%SeriesCode,SeriesLabel,MetricName,CalculationType,DefaultScale,TableId:LineNo,SeriesCodeParents
A008RY,"Nonresidential","Quantity Contributions","Level",0,T10102:9|T10502:28,NONE
A008RZ,"Nonresidential","Quantity Contributions","Level",0,T50302:2,NONE
A009RD,"Structures","Chained Dollar IPDs","Level",0,T10109:10,NONE
A009RL,"Structures","Fisher Quantity Index","Percent change, annual rate",0,T10101:10|T10501:29|T50301:3|T50401:2,NONE
A009RO,"Structures","Fisher Quantity Index","Percent change, year ago",0,T10111:10,NONE
A009RS,"Structures","Price Contributions","Level",0,T10608:27,NONE
A009RV,"Structures","Fisher Price Index","Percent change, annual rate",0,T10107:10|T10607:27,NONE
A009RY,"Structures","Quantity Contributions","Level",0,T10102:10|T10502:29,NONE
A011AX,"Residential","Chained Dollars","Level",-6,T10106A:13,NONE
A011BX,"Residential","Chained Dollars","Level",-6,T10106B:13,NONE
A011CX,"Residential","Chained Dollars","Level",-6,T10106C:13,NONE
A011DX,"Residential","Chained Dollars","Level",-6,T10106D:13,NONE
A011RA,"Residential","Fisher Quantity Index","Level",0,T10103:13|T10503:41|T50203:22|T50303:20|U50203:22,NONE
A011RC,"Residential","Current Dollars","Level",-6,T10105:13|T10505:41|T50205:22|T50305:20|T51000:14|U50205:22,A007RC
A011RD,"Residential","Chained Dollar IPDs","Level",0,T10109:13,NONE
A011RE,"Residential","Current Dollar Shares","Level",0,T10110:13,NONE
A011RJ,"Residential","Price Contributions","Level",0,T10108:13,NONE
A011RL,"Residential","Fisher Quantity Index","Percent change, annual rate",0,T10101:13|T10501:41|T50301:20,NONE
A011RO,"Residential","Fisher Quantity Index","Percent change, year ago",0,T10111:13,NONE
A011RS,"Residential","Price Contributions","Level",0,T10608:39,NONE
A011RV,"Residential","Fisher Price Index","Percent change, annual rate",0,T10107:13|T10607:39,NONE
A011RX,"Residential","Chained Dollars","Level",-6,T10106:13|T10506:41|T50206:22|T50306:20|U50206:22,NONE
A011RY,"Residential","Quantity Contributions","Level",0,T10102:13|T10502:41,NONE
A011RZ,"Residential","Quantity Contributions","Level",0,T50302:20,NONE
A012RC,"Structures","Current Dollars","Level",-6,T50305:21|T50405:35|U50405:35,A011RC|A349RC
A012RL,"Structures","Fisher Quantity Index","Percent change, annual rate",0,T50301:21|T50401:35,NONE
A012RW,"Residential","Quantity Contributions","Level",0,T50402:35,NONE
A012RX,"Structures","Chained Dollars","Level",-6,T50306:21|T50406:35|U50406:35,NONE
A012RZ,"Structures","Quantity Contributions","Level",0,T50302:21,NONE
A014AX,"Change in private inventories","Chained Dollars","Level",-6,T10106A:14,NONE
A014BX,"Change in private inventories","Chained Dollars","Level",-6,T10106B:14,NONE
A014CX,"Change in private inventories","Chained Dollars","Level",-6,T10106C:14,NONE
A014DX,"Change in private inventories","Chained Dollars","Level",-6,T10106D:14,NONE
A014RC,"Change in private inventories","Current Dollars","Level",-6,IntlStyl1:12|T10105:14|T10205:3|T10205:6|T10405:5|T10505:42|T50205:25|T50705A:1|T50705B:1|T50705B:16|T51000:43|U50205:25,A006RC|A191RC|A353RC
A014RE,"Change in private inventories","Current Dollar Shares","Level",0,T10110:14,NONE
A014RJ,"Change in private inventories","Price Contributions","Level",0,T10108:14,NONE
A014RS,"Change in private inventories","Price Contributions","Level",0,T10608:40,NONE
A014RX,"Change in private inventories","Chained Dollars","Level",-6,IntlStyl2:12|T10106:14|T10206:3|T10206:7|T10406:5|T10506:42|T50206:25|T50706A:1|T50706B:1|T50706B:17|U50206:25,NONE
A014RY,"Change in private inventories","Quantity Contributions","Level",0,T10102:14|T10202:3|T10202:6|T10502:42,NONE
A015RC,"Nonfarm industries","Current Dollars","Level",-6,T10505:44|T50705A:3|T50705B:19|U50705AM1:1|U50705AU1:1|U50705BM1:1|U50705BU1:1,A014RC
A015RS,"Nonfarm","Price Contributions","Level",0,T10608:42,NONE
A015RX,"Nonfarm industries","Chained Dollars","Level",-6,T10506:44|T50706A:3|T50706B:20|U50706AM:1|U50706AU:1|U50706BM:1|U50706BU:1,NONE
A015RY,"Nonfarm","Quantity Contributions","Level",0,T10502:44,NONE
A019AX,"Net exports of goods and services","Chained Dollars","Level",-6,T10106A:15,NONE
A019BX,"Net exports of goods and services","Chained Dollars","Level",-6,T10106B:15,NONE
A019CX,"Net exports of goods and services","Chained Dollars","Level",-6,T10106C:15,NONE
A019DX,"Net exports of goods and services","Chained Dollars","Level",-6,T10106D:15,NONE
A019RC,"Net exports of goods and services","Current Dollars","Level",-6,IntlStyl1:13|T10105:15|T10505:45|T71200:10,A191RC
A019RE,"Net exports of goods and services","Current Dollar Shares","Level",0,T10110:15,NONE
A019RJ,"Net exports of goods and services","Price Contributions","Level",0,T10108:15,NONE
A019RX,"Net exports","Chained Dollars","Level",-6,IntlStyl2:13|T10106:15|T10506:45,NONE
A019RY,"Net exports of goods and services","Quantity Contributions","Level",0,T10102:15|T10502:45,NONE
A020AX,"Exports","Chained Dollars","Level",-6,T10106A:16,NONE
A020BX,"Exports","Chained Dollars","Level",-6,T10106B:16,NONE
A020CX,"Exports","Chained Dollars","Level",-6,T10106C:16,NONE
A020DX,"Exports","Chained Dollars","Level",-6,T10106D:16,NONE
A020RD,"Exports","Chained Dollar IPDs","Level",0,T10109:16,NONE
A020RJ,"Exports","Price Contributions","Level",0,T10108:16,NONE
A020RL,"Exports of goods and services","Fisher Quantity Index","Percent change, annual rate",0,T10101:16|T10401:2|T10501:46|T40201:1|T40202:1,NONE
A020RO,"Exports","Fisher Quantity Index","Percent change, year ago",0,T10111:16,NONE
A020RV,"Exports","Fisher Price Index","Percent change, annual rate",0,T10107:16,NONE
A020RX,"Exports of goods and services","Chained Dollars","Level",-6,IntlStyl2:14|T10106:16|T10406:2|T10506:46|T10806:2|T40206:1|U40206:1,NONE
A020RY,"Exports","Quantity Contributions","Level",0,T10102:16|T10502:46,NONE
A021AX,"Imports","Chained Dollars","Level",-6,T10106A:19,NONE
A021BX,"Imports","Chained Dollars","Level",-6,T10106B:19,NONE
A021CX,"Imports","Chained Dollars","Level",-6,T10106C:19,NONE
A021DX,"Imports","Chained Dollars","Level",-6,T10106D:19,NONE
A021RD,"Imports","Chained Dollar IPDs","Level",0,T10109:19,NONE
A021RJ,"Imports","Price Contributions","Level",0,T10108:19,NONE
A021RL,"Imports of goods and services","Fisher Quantity Index","Percent change, annual rate",0,T10101:19|T10401:3|T10501:49|T40201:25|T40202:25,NONE
A021RO,"Imports","Fisher Quantity Index","Percent change, year ago",0,T10111:19,NONE
A021RV,"Imports","Fisher Price Index","Percent change, annual rate",0,T10107:19,NONE
A021RX,"Imports of goods and services","Chained Dollars","Level",-6,IntlStyl2:17|T10106:19|T10406:3|T10506:49|T10806:3|T40206:26|U40206:49,NONE
A021RY,"Imports","Quantity Contributions","Level",0,T10102:19|T10502:49,NONE
A023RC,"Gross national income","Current Dollars","Level",-6,T10705:28|T11705:7,NONE
A023RL,"Gross national income","Chained Dollars","Percent change, annual rate",0,T10701:13|T11701:7,NONE
A023RX,"Gross national income","Chained Dollars","Level",-6,T10706:13|T11706:7,NONE
A024RA,"Less: Consumption of fixed capital","Fisher Quantity Index","Level",0,T10703:6|T50203:5|T50203:8|U50203:5|U50203:8,NONE
A024RC,"Less: Consumption of fixed capital","Current Dollars","Level",-6,T10705:6|T11000:22|T50100:14|T50205:5|T50205:8|T51000:33|T70500:2|U50205:5|U50205:8,A262RC
A024RE,"Private","Current Dollar Shares","Level",0,T11100:22,NONE
A024RG,"Private","Fisher Price Index","Level",0,T10704:6,NONE
A024RL,"Private","Fisher Quantity Index","Percent change, annual rate",0,T10701:6,NONE
A024RX,"Less: Consumption of fixed capital","Chained Dollars","Level",-6,T10706:6|T50206:5|T50206:8|U50206:5|U50206:8,NONE
A027RA,"Net national product","Fisher Quantity Index","Level",0,T10703:10|T10803:14,NONE
A027RC,"Net national product","Current Dollars","Level",-6,T10705:14|T11705:8,NONE
A027RG,"Equals: Net national product","Fisher Price Index","Level",0,T10704:10,NONE
A027RL,"Net national product","Fisher Quantity Index","Percent change, annual rate",0,T10701:10|T11701:8,NONE
A027RX,"Net national product","Chained Dollars","Level",-6,T10706:10|T10806:14|T11706:8,NONE
A030RC,"Statistical discrepancy","Current Dollars","Level",-6,T10705:15|T11000:24|T50100:42,NONE
A032RC,"National income","Current Dollars","Level",-6,T10705:16|T11200:1|T11300:1|T11705:9,NONE
A033RC,"Compensation of employees","Current Dollars","Level",-6,T11200:2|T20100:2|T20600:2|T20900:2|T20900:23|T60200A:1|T60200B:1|T60200C:1|T60200D:1|T71200:77,A032RC|A065RC|W380RC
A034RC,"Wages and salaries","Current Dollars","Level",-6,T11200:3|T20100:3|T20200A:1|T20200B:1|T20600:3|T20700A:1|T20700B:1|T60300A:1|T60300B:1|T60300C:1|T60300D:1|T71800:7,A033RC
A038RC,"Supplements to wages and salaries","Current Dollars","Level",-6,T11000:6|T11200:6|T20100:6|T20600:6|T70800:1,A033RC|A4002C
A038RE,"Supplements to wages and salaries","Current Dollar Shares","Level",0,T11100:6,NONE
A041RC,"Proprietors' income with inventory valuation and capital consumption adjustments","Current Dollars","Level",-6,T11000:13|T11200:30|T11200:9|T11300:14|T11600:16|T20100:9|T20600:9|T20900:24|T20900:3|T71200:49|T71200:80,A032RC|A065RC|W260RC|W380RC
A041RE,"Proprietors' income with inventory valuation and capital consumption adjustments","Current Dollar Shares","Level",0,T11100:13,NONE
A043RC,"Proprietors' income with IVA","Current Dollars","Level",-6,T11200:32|T11300:70,NONE
A045RC,"Nonfarm","Current Dollars","Level",-6,T11200:11|T11200:34|T20100:11|T20600:11,A041RC
A048RC,"Rental income of persons with capital consumption adjustment","Current Dollars","Level",-6,T11000:14|T11200:12|T11200:38|T11600:17|T20100:12|T20600:12|T20900:4|T70900:1|T71200:52|T71200:83,A032RC|A065RC|W260RC
A048RE,"Rental income of persons with capital consumption adjustment","Current Dollar Shares","Level",0,T11100:14,NONE
A051RC,"Corporate profits with inventory valuation and capital consumption adjustments","Current Dollars","Level",-6,RfTaxAct:14|T10705:17|T11200:13|T11200:41|T11600:18|T61600A:1|T61600B:1|T61600C:1|T61600D:1,A032RC
A052RC,"Corporate profits with inventory valuation adjustment","Current Dollars","Level",-6,T11200:42|T61600A:6|T61600B:8|T61600C:8|T61600D:8,NONE
A053RC,"Corporate profits before tax","Current Dollars","Level",-6,RfTaxAct:1|T11200:43|T61700A:1|T61700B:1|T61700C:1|T61700D:1|T71600:21,NONE
A054RC,"Taxes on corporate income","Current Dollars","Level",-6,RfTaxAct:6|T11000:16|T11200:14|T11200:44|T11400:12|T11600:19|T61800A:1|T61800A:2|T61800B:1|T61800C:1|T61800D:1|T71200:58|T71600:30,A051RC|A445RC
A054RE,"Taxes on corporate income","Current Dollar Shares","Level",0,T11100:16,NONE
A055RC,"Profits after tax (without IVA and CCAdj)","Current Dollars","Level",-6,RfTaxAct:11|T11200:45|T61900A:1|T61900B:1|T61900C:1|T61900D:1|T71600:31,NONE
A059RC,"Capital consumption adjustment","Current Dollars","Level",-6,T11200:49|T11300:67|T11400:36|T50100:7|T71300:12,A127RC
A061RC,"Contributions for government social insurance, domestic","Current Dollars","Level",-6,T10705:19|T20100:25|T20600:25|T20900:11|T20900:33|T30100:8|T71200:92,A065RC|W380RC|W782RC
A063RC,"Government social benefits to persons","Current Dollars","Level",-6,T20100:17|T20600:17|T20900:9|T30100:24|T31200:2|U31200:2,A577RC|W063RC
A064RC,"Personal interest income","Current Dollars","Level",-6,T20100:14|T20600:14|T20900:6|T71100:108,W210RC
A065RC,"Equals: Personal income","Current Dollars","Level",-6,T10705:25|T20100:1|T20600:1|T20900:1|T71200:249|T71200:74,NONE
A067RC,"Disposable personal income","Current Dollars","Level",-6,T11705:13|T20100:27|T20600:27|T20900:13|T71200:98,NONE
A067RL,"Disposable personal income","Chained Dollars","Percent change, annual rate",0,T11701:16|T20100:42,NONE
A067RO,"Real disposable personal income","Chained Dollars","Percent change, year ago",0,T10111:34,NONE
A067RP,"Disposable personal income, current dollars","Current Dollars","Percent change, annual rate",0,T20100:41,NONE
A067RX,"Disposable personal income","Chained Dollars","Level",-6,T11706:16|T20100:37|T20600:37,NONE
A068RC,"Less: Personal outlays","Current Dollars","Level",-6,T20100:28|T20600:28|T20900:14|T71200:101,NONE
A071RC,"Personal saving","Current Dollars","Level",-6,T20100:34|T20600:34|T20900:20|T50100:9|T71200:104|T71200:142,W986RC
A072RC,"Personal saving as a percentage of disposable personal income","Ratio","Level",0,T20100:35|T20600:35|T20900:21,NONE
A074RC,"Personal current taxes","Current Dollars","Level",-6,T30200:3|T30400:2|U30400:2,W006RC|W055RC
A074RU,"Personal current taxes","Current Dollars","Level",-6,T32200:3,W006RU
A084RC,"Current transfer payments","Current Dollars","Level",-6,T30100:22,NONE
A085RC,"Net interest paid by government (19+50+91-33-72)","Current Dollars","Level",-6,T71100:106,NONE
A091RC,"Interest payments","Current Dollars","Level",-6,T30200:32,NONE
A091RU,"Interest payments","Current Dollars","Level",-6,T32200:20,NONE
A1024C,"Proprietors' income and corporate profits with inventory valuation and capital consumption adjustments","Current Dollars","Level",-6,T70305:26|T71500:12,W251RC
A1028C,"Less: Consumption of fixed capital","Current Dollars","Level",-6,T70405:12,NONE
A1072C,"Equals: Net exports of goods and services and net receipts of income, NIPAs (10-20)","Current Dollars","Level",-6,T4030A:27|T4030B:45|U4030B:45,NONE
A1073C,"Current receipts from the rest of the world","Current Dollars","Level",-6,T40100:1|T4030A:10|T71200:116,NONE
A1074C,"Equals: Imports of goods and services and income payments, NIPAs","Current Dollars","Level",-6,T4030A:20,NONE
A107RC,"Government","Current Dollars","Level",-6,T11000:8|T11200:20|T30100:30|T31300:1|T31700:78|T71200:37|U31300:1,A032RC|A261RC
A107RE,"Less: Subsidies","Current Dollar Shares","Level",0,T11100:8,NONE
A108RC,"Current surplus of government enterprises","Current Dollars","Level",-6,T10705:22|T11000:20|T11200:25|T11300:18|T11300:40|T30100:19|T30800:1|T71200:68|U30800:1,A032RC|W271RC|W474RC
A108RE,"Current surplus of government enterprises","Current Dollar Shares","Level",0,T11100:20,NONE
A1100C,"Financial","Current Dollars","Level",-6,T71100:4,A2063C
A1147C,"Persons","Current Dollars","Level",-6,T71100:66,W315RC
A123RC,"Current taxes and transfer payments to the rest of the world","Current Dollars","Level",-6,T40100:29|T4030B:39|T71200:135|U4030B:39,NONE
A124RC,"Balance on current account, NIPAs","Current Dollars","Level",-6,T40100:33|T40100:35|T4030A:39|T4030B:55|U4030B:55,NONE
A126RC,"Gross private saving","Current Dollars","Level",-6,T50100:43,NONE
A127RC,"Domestic business","Current Dollars","Level",-6,T11200:17|T11200:27|T11600:24|T50100:4|T71200:145,A551RC|W202RC
A132RC,"Private industries","Current Dollars","Level",-6,T11200:5|T20100:4|T20200A:2|T20200B:2|T20600:4|T20700A:2|T20700B:2,A034RC
A133RA,"Auto output","Fisher Quantity Index","Level",0,T70203A:1|T70203B:2,NONE
A133RC,"Auto output","Current Dollars","Level",-6,T70205A:1|T70205B:2|U70205:2,A953RC
A133RG,"Auto output","Fisher Price Index","Level",0,T70204A:1|T70204B:2|U70204:2,NONE
A133RL,"Auto output","Fisher Quantity Index","Percent change, annual rate",0,T70201A:1|T70201B:2,NONE
A133RX,"Auto output","Chained Dollars","Level",-6,T70206B:2|U70206:2,NONE
A134RA,"Final sales","Fisher Quantity Index","Level",0,T70203A:2,NONE
A134RC,"Final sales","Current Dollars","Level",-6,T70205A:2,NONE
A134RG,"Final sales","Fisher Price Index","Level",0,T70204A:2,NONE
A134RL,"Final sales","Fisher Quantity Index","Percent change, annual rate",0,T70201A:2,NONE
A135RA,"Personal consumption expenditures","Fisher Quantity Index","Level",0,T70203A:3,NONE
A135RC,"Personal consumption expenditures","Current Dollars","Level",-6,T70205A:3,NONE
A135RG,"Personal consumption expenditures","Fisher Price Index","Level",0,T70204A:3,NONE
A135RL,"Personal consumption expenditures","Fisher Quantity Index","Percent change, annual rate",0,T70201A:3,NONE
A136RA,"Autos","Fisher Quantity Index","Level",0,T70203A:4|T70203B:7,NONE
A136RC,"Autos","Current Dollars","Level",-6,T70205A:4|T70205B:7|U70205:7,AB67RC
A136RG,"Autos","Fisher Price Index","Level",0,T70204A:4|T70204B:7|U70204:7,NONE
A136RL,"Autos","Fisher Quantity Index","Percent change, annual rate",0,T70201A:4|T70201B:7,NONE
A136RX,"Autos","Chained Dollars","Level",-6,T70206B:7|U70206:7,NONE
A137RC,"Used autos","Current Dollars","Level",-6,T70205A:5|T70205B:10|U70205:14,W240RC
A137RG,"Used autos","Fisher Price Index","Level",0,T70204A:5|T70204B:10|U70204:14,NONE
A137RX,"Used autos","Chained Dollars","Level",-6,T70206B:10|U70206:14,NONE
A1400C,"For consistent accounting at historical cost","Current Dollars","Level",-6,T70600:2,Y0004C
A1401C,"For current-cost valuation","Current Dollars","Level",-6,T70600:3,Y0004C
A1402C,"For consistent accounting at historical cost","Current Dollars","Level",-6,T70600:5,A2201C
A1403C,"For current-cost valuation","Current Dollars","Level",-6,T70600:6,A2201C
A141RC,"Net exports","Current Dollars","Level",-6,T70205A:9,NONE
A145RC,"Autos","Current Dollars","Level",-6,T70205A:13|T70205B:32|U70205:56,AB65RC
A145RX,"Autos","Chained Dollars","Level",-6,T70206B:32|U70206:56,NONE
A150RC,"Manufacturing","Current Dollars","Level",-6,T50705A:6|U50705AM1:2|U50705AU1:2,NONE
A150RX,"Manufacturing","Chained Dollars","Level",-6,T50706A:4|U50706AM:2|U50706AU:2,NONE
A151RC,"Merchant wholesalers","Current Dollars","Level",-6,T50705A:12|U50705AM1:8|U50705AU1:39,NONE
A151RX,"Merchant wholesalers","Chained Dollars","Level",-6,T50706A:10|U50706AM:8|U50706AU:39,NONE
A152RC,"Nonmerchant wholesalers","Current Dollars","Level",-6,T50705A:15|U50705AM1:11|U50705AU1:60,NONE
A152RX,"Nonmerchant wholesalers","Chained Dollars","Level",-6,T50706A:13|U50706AM:11|U50706AU:60,NONE
A153RC,"Retail trade","Current Dollars","Level",-6,T50705A:18|U50705AM1:14|U50705AU1:63,NONE
A153RX,"Retail trade","Chained Dollars","Level",-6,T50706A:16|U50706AM:14|U50706AU:63,NONE
A154RC,"Other","Current Dollars","Level",-6,T50705A:23|U50705AM1:19|U50705AU1:75,NONE
A154RX,"Other","Chained Dollars","Level",-6,T50706A:21|U50706AM:19|U50706AU:75,NONE
A1580C,"Employer contributions","Current Dollars","Level",-6,T30600:3|T31400:4|U30600:3,B039RC|W780RC
A1581C,"Unemployment insurance","Current Dollars","Level",-6,T30600:7|U30600:7,A1580C
A1585C,"Employee and self-employed contributions","Current Dollars","Level",-6,T30600:21|T31400:3|U30600:21,B228RC|W780RC
A1586C,"Old-age, survivors, disability, and hospital insurance","Current Dollars","Level",-6,T30600:22|U30600:22,A1585C
A1587C,"Employees","Current Dollars","Level",-6,T30600:23|U30600:23,A1586C
A1588C,"Benefits from social insurance funds","Current Dollars","Level",-6,T31200:4|T31400:13|U31200:4,B087RC|W026RC
A1589C,"Unemployment insurance","Current Dollars","Level",-6,T31200:7|U31200:7,A1588C
A1594C,"Veterans' benefits","Current Dollars","Level",-6,T31200:17|U31200:17,B087RC
A1595C,"Benefits from social insurance funds","Current Dollars","Level",-6,T31200:28|U31200:28,B109RC
A1596C,"Public assistance","Current Dollars","Level",-6,T31200:31|U31200:31,B109RC
A1608C,"Plus: Adjustment for U.S. territories and Puerto Rico (4+9+14-25-29-33)","Current Dollars","Level",-6,T4030A:25|T4030B:44|U4030B:44,NONE
A1610C,"Plus: Adjustment for U.S. territories and Puerto Rico (25+30)","Current Dollars","Level",-6,T4030A:38|T4030B:54|U4030B:54,NONE
A1615C,"Sole proprietorships and partnerships","Current Dollars","Level",-6,T70500:8,W277RC
A1618C,"Other private business","Current Dollars","Level",-6,T70500:11,W277RC
A1626C,"Domestic business (2+42+77-26-55-96)","Current Dollars","Level",-6,T71100:99,NONE
A1627C,"Rest of the world (22+53+94-36-75)","Current Dollars","Level",-6,T11300:63|T61500A:20|T61500B:20|T61500C:20|T61500D:24|T71100:105,A192RC|B060RC
A1629C,"Income of organizations not filing corporation income tax returns","Current Dollars","Level",-6,T71600:4,NONE
A1641C,"Sole proprietorships and partnerships","Current Dollars","Level",-6,T11300:19,NONE
A1642C,"Compensation of employees","Current Dollars","Level",-6,T11300:20,A1641C
A1645C,"Proprietors' income with IVA and CCAdj","Current Dollars","Level",-6,T11300:23|T11300:68,A1641C
A1646C,"Nonfarm","Current Dollars","Level",-6,T11300:25|T11300:72,A1645C
A1647C,"Proprietors' income (without IVA and CCAdj)","Current Dollars","Level",-6,T11300:73,NONE
A1650C,"Other private business","Current Dollars","Level",-6,T11300:28,NONE
A1651C,"Compensation of employees","Current Dollars","Level",-6,T11300:29,A1650C
A1654C,"Proprietors' income with IVA and CCAdj","Current Dollars","Level",-6,T11300:32|T11300:76,A1650C
A1658C,"Compensation of employees","Current Dollars","Level",-6,T11300:37,W474RC
A1666C,"State","Current Dollars","Level",-6,T30500:18|U30500:18,B248RC
A1667C,"Local","Current Dollars","Level",-6,T30500:26|U30500:26,B248RC
A1670C,"Current expenditures","Current Dollars","Level",-6,T31400:10,NONE
A1676C,"Imputations (208)","Current Dollars","Level",-6,T71200:208|T71200:93,A061RC|A2099C
A1680C,"Excluding imputations (25-26)","Current Dollars","Level",-6,T71200:27,A782RC
A1684C,"Imputations (172+177+183+191+208+213)","Current Dollars","Level",-6,T71200:20,NONE
A1700C,"Noncorporate capital consumption allowances","Current Dollars","Level",-6,T61300A:1|T61300B:1|T61300C:1|T61300D:1,NONE
A1701BC,"Agriculture, forestry, and fishing","Current Dollars","Level",-6,T61300B:2,NONE
A1701C,"Agriculture, forestry, and fishing","Current Dollars","Level",-6,T61300C:2,NONE
A1706BC,"Manufacturing","Current Dollars","Level",-6,T61300B:7,NONE
A1706C,"Manufacturing","Current Dollars","Level",-6,T61300C:7,NONE
A1709BC,"Transportation and public utilities","Current Dollars","Level",-6,T61300B:10,NONE
A1709C,"Transportation and public utilities","Current Dollars","Level",-6,T61300C:10,NONE
A1715BC,"Finance, insurance, and real estate","Current Dollars","Level",-6,T61300B:16,NONE
A1715C,"Finance, insurance, and real estate","Current Dollars","Level",-6,T61300C:16,NONE
A1717C,"Real estate","Current Dollars","Level",-6,T61300A:18,NONE
A1722BC,"Agriculture, forestry, and fishing","Current Dollars","Level",-6,T62200B:2,NONE
A1722C,"Agriculture, forestry, and fishing","Current Dollars","Level",-6,T62200C:2,NONE
A1725BC,"Mining","Current Dollars","Level",-6,T62200B:5,NONE
A1725C,"Mining","Current Dollars","Level",-6,T62200C:5,NONE
A1732BC,"Durable goods","Current Dollars","Level",-6,T62200B:12,NONE
